'ModifiedCartan.partitionProperty_mono' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.blaschkeFactor_analytic' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.blaschkeFactor_norm_le_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.blaschkeFactor_norm_lt_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.blaschkeFactor_norm_on_circle' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.blaschkeFactor_uniform_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.blaschkeFactor_radial_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.bounded_blaschke_factorization_local' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.bounded_blaschke_factorization' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.blaschkeDecayConstant_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.blaschkeFactor_exponential_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.wronskian_boundary_error_negligible' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.harnackPower_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.zero_free_log_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.power_bound_zero_count' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.noVanishingQuotientSubsequence_subsequence' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.onlyNegativeOneUnitLimits_subsequence' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.ratio_neg_one_of_logDerivative_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.cartan_two_bounded_pairs' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.blaschkeFactor_log_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.cartan_circle_at_point' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.cartanCircleEstimate_proved' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.four_kernel_equicontinuous_of_finite_ratio_limit' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'ModifiedCartan.four_global_class_of_finite_ratio_limit' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.four_global_class_of_vanishing_ratio' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.four_class_of_finite_ratio_limit' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.four_class_of_vanishing_ratio' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.pair_merge_on_annulus' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.restore_eraseFinIndex' depends on axioms: [propext, Classical.choice]
'ModifiedCartan.eraseFinIndex_eq_iff' depends on axioms: [propext, Classical.choice]
'ModifiedCartan.pairAssignment_eq_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.pairAssignment_rep' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.pairAssignment_fiber' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.mergedFamily_pair' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.ratio_neg_one_symmetric' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.cancelling_pairs_disjoint_or_ratio_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.cclass_pair_of_ratio_neg_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.ratio_one_of_overlapping_cancellations' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.ratio_unit_limit_of_logDerivative_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.pairAssignment_restore' depends on axioms: [propext, Classical.choice]
'ModifiedCartan.mergedFamily_assigned_pair' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.mergedFamily_pair_unit' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.cclass_unmerge_pair' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.cartan_circle_scaled' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.three_global_projective_limit' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.cartanExtraction_three' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.partitionProperty_three' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.three_domain_kernel_equicontinuous' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.three_domain_cclass' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.cpartition_three_univ' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.three_local_projective_limit' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.three_projectiveKernel_equicontinuous' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.mem_liftedIndices' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.liftedIndices_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.liftedIndices_disjoint' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.liftedIndices_univ' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.mergedFamily_zeroSum' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.cclass_unmerge' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.iteratedDeriv_unit_disk_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.iteratedDeriv_analyticOnNhd' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.wronskian_analyticOnNhd' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.matrix_det_norm_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.wronskianUpperBound_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.wronskian_unit_disk_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.cclass_two_dominants_after_extraction' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.dominant_insert_negligible' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.cpartition_single_class' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.cpartition_two_classes' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.locallyBounded_deriv_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.tendsto_div_real_atTop_zero_of_bounded' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.cclass_jet_limits' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.circle_codiscrete_ae' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.circleAverage_mono_codiscrete' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.meromorphic_circle_norm_rpow_measurable' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.circleIntegrable_norm_rpow_of_codiscrete_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.circle_variation_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.continuous_coefficientNormSq' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.coefficient_norm_le_one' depends on axioms: [propext, Classical.choice, Quot.sound]
